Using device: cuda
Calculating perplexities: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 617/617 [00:51<00:00, 12.05it/s]
ref_path: gpt2-355m, RATIO: 0.8, PROB AUC: 0.617403460091232, LOGPROB AUC: 0.6875407285951525, PROB ACC: 0.5332252836304701, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-355m, RATIO: 0.8, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.8, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.9, PROB AUC: 0.6146812133442644, LOGPROB AUC: 0.6858905635786509, PROB ACC: 0.5332252836304701, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-355m, RATIO: 0.9, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.9, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 1.0, PROB AUC: 0.6147337663702677, LOGPROB AUC: 0.68555422421223, PROB ACC: 0.5332252836304701, LOGPROB ACC: 0.5559157212317666
ref_path: gpt2-355m, RATIO: 1.0, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 1.0, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768
